step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,1,9839.64,01231006815,170136.0,160296.36,41979787155,0.0,0.0,0,0
1,1,1864.28,01666544295,21249.0,19384.72,42044282225,0.0,0.0,0,0
1,2,181.0,01305486145,181.0,0.0,0553264065,0.0,0.0,1,0
1,3,181.0,0840083671,181.0,0.0,038997010,21182.0,0.0,1,0
1,1,11668.14,02048537720,41554.0,29885.86,41230701703,0.0,0.0,0,0
1,1,7817.71,090045638,53860.0,46042.29,4573487274,0.0,0.0,0,0
1,1,7107.77,0154988899,183195.0,176087.23,4408069119,0.0,0.0,0,0
1,1,7861.64,01912850431,176087.23,168225.59,4633326333,0.0,0.0,0,0
1,1,4024.36,01265012928,2671.0,0.0,41176932104,0.0,0.0,0,0
1,4,5337.77,0712410124,41720.0,36382.23,0195600860,41898.0,40348.79,0,0
1,4,9644.94,01900366749,4465.0,0.0,0997608398,10845.0,157982.12,0,0
1,1,3099.97,0249177573,20771.0,17671.03,42096539129,0.0,0.0,0,0
1,1,2560.74,01648232591,5070.0,2509.26,4972865270,0.0,0.0,0,0
1,1,11633.76,01716932897,10127.0,0.0,4801569151,0.0,0.0,0,0
1,1,4098.78,01026483832,503264.0,499165.22,41635378213,0.0,0.0,0,0
1,3,229133.94,0905080434,15325.0,0.0,0476402209,5083.0,51513.44,0,0
1,1,1563.82,0761750706,450.0,0.0,41731217984,0.0,0.0,0,0
1,4,9302.79,01566511282,11299.0,1996.21,01973538135,29832.0,16896.7,0,0
1,4,1065.41,01959239586,1817.0,751.59,0515132998,10330.0,0.0,0,0
1,1,3876.41,0504336483,67852.0,63975.59,41404932042,0.0,0.0,0,0
1,2,311685.89,01984094095,10835.0,0.0,0932583850,6267.0,2719172.89,0,0
1,1,6061.13,01043358826,443.0,0.0,41558079303,0.0,0.0,0,0
1,1,9478.39,01671590089,116494.0,107015.61,458488213,0.0,0.0,0,0
1,1,8009.09,01053967012,10968.0,2958.91,4295304806,0.0,0.0,0,0
1,1,8901.99,01632497828,2958.91,0.0,433419717,0.0,0.0,0,0
1,1,9920.52,0764826684,0.0,0.0,41940055334,0.0,0.0,0,01
1,1,5086.48,0598357562,0.0,0.0,41593224710,0.0,0.0,0,0
1,1,5281.48,01440738283,152019.0,146737.52,41849015357,0.0,0.0,0,0
1,1,13875.98,0484199463,15818.0,1942.02,42008106788,0.0,0.0,0,0
1,3,56953.9,01570470538,1942.02,0.0,0824009085,70253.0,64106.18,0,0
1,3,5346.89,0512549200,0.0,0.0,0248609774,652637.0,6453430.91,0,0
1,1,2204.04,01615801298,586.0,0.0,4490391704,0.0,0.0,0,0
1,1,2641.47,0460570271,23053.0,20411.53,41653361344,0.0,0.0,0,0
1,3,23261.3,02072313080,20411.53,0.0,02001112025,25742.0,0.0,0,0
1,1,2330.64,0816944408,203543.0,201212.36,4909132503,0.0,0.0,0,0
1,1,1614.64,0912966811,41276.0,39661.36,41792384402,0.0,0.0,0,0
1,1,9164.71,01458621573,47235.77,38071.06,41658980982,0.0,0.0,0,0
1,1,2970.97,046941357,38071.06,35100.09,41152606315,0.0,0.0,0,0
1,1,38.66,0343345308,16174.0,16135.34,41714688478,0.0,0.0,0,0
1,1,2252.44,0104716441,1627.0,0.0,41506951181,0.0,0.0,0,0
1,2,62610.8,01976401987,79114.0,16503.2,01937962514,517.0,8383.29,0,0
1,4,5529.13,0867288517,8547.0,3017.87,0242131142,10206.0,0.0,0,0
1,3,82940.31,01528834618,3017.87,0.0,0476800120,132372.0,49864.36,0,0
1,4,4510.22,0280615803,10256.0,5745.78,01254526270,10697.0,0.0,0,0
1,4,8727.74,0166694583,882770.0,874042.26,01129670968,12636.0,0.0,0,0
1,1,2599.46,0885910946,874042.26,871442.79,41860591867,0.0,0.0,0,0
1,4,4874.49,0811207775,153.0,0.0,01971489295,253104.0,0.0,0,0
1,1,6440.78,01161148117,2192.0,0.0,4516875052,0.0,0.0,0,0
1,1,4910.14,01131592118,41551.0,36640.86,4589987187,0.0,0.0,0,0
1,1,6444.64,01262609629,12019.0,5574.36,4587180314,0.0,0.0,0,0
1,4,5149.66,01955990522,4782.0,0.0,01330106945,52752.0,24044.18,0,0
1,1,7292.16,069673470,216827.0,209534.84,41082411691,0.0,0.0,0,0
1,3,47458.86,0527211736,209534.84,162075.98,02096057945,52120.0,0.0,0,0
1,3,136872.92,01533123860,162075.98,25203.05,0766572210,217806.0,0.0,0,0
1,3,94253.33,01718906711,25203.05,0.0,0977993101,99773.0,965870.05,0,0
1,1,2998.04,071802912,12030.0,9031.96,42134271532,0.0,0.0,0,0
1,1,3454.08,0686349795,9031.96,5577.88,41831010686,0.0,0.0,0,0
1,1,4316.2,01423768154,10999.0,6682.8,4404222443,0.0,0.0,0,0
1,1,2131.84,01987977423,224.0,0.0,461073295,0.0,0.0,0,0
1,1,12986.61,0807322507,23350.0,10363.39,4396485834,0.0,0.0,0,0
1,2,42712.39,0283039401,10363.39,0.0,01330106945,57901.66,24044.18,0,0
1,2,77957.68,0207471778,0.0,0.0,01761291320,94900.0,22233.65,0,0
1,2,17231.46,01243171897,0.0,0.0,0783286238,24672.0,0.0,0,0
1,2,78766.03,01376151044,0.0,0.0,01749186397,103772.0,277515.05,0,0
1,2,224606.64,0873175411,0.0,0.0,0766572210,354678.92,0.0,0,0
1,2,125872.53,01443967876,0.0,0.0,0392292416,348512.0,3420103.09,0,0
1,2,379856.23,01449772539,0.0,0.0,01590550415,900180.0,1.91692049397,0,0
1,2,1505626.01,0926859124,0.0,0.0,0665576141,29031.0,5515763.34,0,0
1,2,554026.99,01603696865,0.0,0.0,0766572210,579285.56,0.0,0,0
1,2,147543.1,012905860,0.0,0.0,01359044626,223220.0,16518.36,0,0
1,2,761507.39,0412788346,0.0,0.0,01590550415,1280036.23,1.91692049397,0,0
1,2,1429051.47,01520267010,0.0,0.0,01590550415,2041543.62,1.91692049397,0,0
1,2,358831.92,0908084672,0.0,0.0,0392292416,474384.53,3420103.09,0,0
1,2,367768.4,0288306765,0.0,0.0,01359044626,370763.1,16518.36,0,0
1,2,209711.11,01556867940,0.0,0.0,01509514333,399214.71,2415.16,0,0
1,2,583848.46,01839168128,0.0,0.0,01286084959,667778.0,2107778.11,0,0
1,2,1724887.05,01495608502,0.0,0.0,01590550415,3470595.1,1.91692049397,0,0
